description,Beilagensalat,Regio Apfel,type,diet,mensa,image_path
Pasta-Kreationen aus unserer eigenen Pasta-Manufaktur mit verschiedenen Saucen und Toppings,no,no,Essen 3,Vegan,Mensa Flugplatz,images/2025-05-19/mensa-flugplatz_essen-3.jpg
Paniertes Schweineschnitzel oder Gemuseschnitzel Bratensauce Pommes frites,no,no,Wochenangebot,Vegan auf Anfrage,Mensa Flugplatz,images/2025-05-19/mensa-flugplatz_wochenangebot.jpg
Vegetarisches Geschnetzeltes Champignon-Rahmsauce Kartoffelrosti Buntes Pfannengemuse,no,no,Essen 1,Vegetarisch,Mensa Rempartstrae,images/2025-05-19/mensa-rempartstrae_essen-1.jpg
Spaghetti Bolognese mit Bio-Rind Geriebener Hartkase,no,no,Essen 2,Nicht-vegetarisch,Mensa Rempartstrae,images/2025-05-19/mensa-rempartstrae_essen-2.jpg
Scharfe Gemuse-Kokos-Suppe mit Bio-Tofu,no,no,Schneller Teller,Vegan,Mensa Rempartstrae,images/2025-05-19/mensa-rempartstrae_schneller-teller.jpg
Blatterteigschnitte mit Hetaxkase und Spinat Krauter-Joghurtdip Gemusepaella,no,no,Essen 1,Vegetarisch,Mensa Institutsviertel,images/2025-05-19/mensa-institutsviertel_essen-1.jpg
Pasta-Kreationen aus unserer eigenen Pasta-Manufaktur mit verschiedenen Saucen und Toppings,no,no,Essen 3,Vegan,Mensa Institutsviertel,images/2025-05-19/mensa-institutsviertel_essen-3.jpg
Paniertes Schweineschnitzel oder Gemuseschnitzel Bratensauce Pommes frites,no,no,Wochenangebot,Vegan auf Anfrage,Mensa Institutsviertel,images/2025-05-19/mensa-institutsviertel_wochenangebot.jpg
Paniertes Schweineschnitzel oder Gemuseschnitzel Bratensauce Pommes frites,no,no,Wochenangebot,Vegan auf Anfrage,Mensa Littenweiler,images/2025-05-19/mensa-littenweiler_wochenangebot.jpg
Texaspfanne mit Sojastreifen und roten Bohnen Paprikadip Country Potatoes,no,no,Essen 1,Vegan,Mensa Rempartstrae,images/2025-05-17/mensa-rempartstrae_essen-1.jpg
Kottbullar Cranberrysauce Risoleekartoffeln Blattsalat,no,no,Essen 2,Nicht-vegetarisch,Mensa Rempartstrae,images/2025-05-17/mensa-rempartstrae_essen-2.jpg
Zitronen-Krauternudeln mit Tomaten Ruccola und Basilikum Bio Rauchertofu Tomatensugo Petersilienpesto,no,no,Essen 1,Vegan,Mensa Flugplatz,images/2025-05-16/mensa-flugplatz_essen-1.jpg
Milchreis Apfelmus Zimtzucker,no,no,Essen 3,Vegetarisch,Mensa Flugplatz,images/2025-05-16/mensa-flugplatz_essen-3.jpg
Dicke Fritten Chilli von Erbsenprotein Jalapenos Rucola Knoblauchol Peperoniol Geriebener Kase,no,no,Wochenangebot,Vegan auf Anfrage,Mensa Flugplatz,images/2025-05-16/mensa-flugplatz_wochenangebot.jpg
Thai Curry mit Gemuse und Soja Basmatireis Erdnusse,no,no,Essen 1,Vegan,Mensa Rempartstrae,images/2025-05-16/mensa-rempartstrae_essen-1.jpg
Pasta \"Tonno\" mit veganem Thunfisch Tomaten Gemuse Oliven,no,no,Tagesgericht,Vegan,Mensa Rempartstrae,images/2025-05-16/mensa-rempartstrae_tagesgericht.jpg
Currywurst oder planted Currywurst Pommes frites,no,no,Wochenangebot,Vegan auf Anfrage,Mensa Rempartstrae,images/2025-05-16/mensa-rempartstrae_wochenangebot.jpg
Dicke Fritten Chilli von Erbsenprotein Jalapenos Rucola Knoblauchol Peperoniol Geriebener Kase,no,no,Wochenangebot,Vegan auf Anfrage,Mensa Institutsviertel,images/2025-05-16/mensa-institutsviertel_wochenangebot.jpg
Dicke Fritten mit Uberraschung,no,no,Abendessen 1,Vegetarisch,Mensa Institutsviertel,images/2025-05-16/mensa-institutsviertel_abendessen-1.jpg
Tortellini gefullt mit Ricotta und Spinat Basilikum-Kasesauce Fruhlingszwiebel Tomatenwurfel und geriebener Emmentaler,no,no,Essen 1,Vegetarisch,Mensa Flugplatz,images/2025-05-15/mensa-flugplatz_essen-1.jpg
Pfannengyros vom Schwein Krauter-Joghurtdip Indischer Gewurzreis Karotten-Krautsalat,no,no,Essen 2,Nicht-vegetarisch,Mensa Flugplatz,images/2025-05-15/mensa-flugplatz_essen-2.jpg
Misosuppe vegetarisch und mit Fleisch Baguette,no,no,Essen 3,Vegan auf Anfrage,Mensa Flugplatz,images/2025-05-15/mensa-flugplatz_essen-3.jpg
Dicke Fritten Chilli von Erbsenprotein Jalapenos Rucola Knoblauchol Peperoniol Geriebener Kase,no,no,Wochenangebot,Vegan auf Anfrage,Mensa Flugplatz,images/2025-05-15/mensa-flugplatz_wochenangebot.jpg
Mandel-Tofuragout mit Pilzen Bauernspatzle,no,no,Essen 2,Vegetarisch,Mensa Rempartstrae,images/2025-05-15/mensa-rempartstrae_essen-2.jpg
Falafel Quinoa Bowl Bio Hummus Mojo Dip Gebackene Sukartoffeln Blumenkohlsalat Sojabohnen Cranberry-Rotkrautsalat,no,no,Tagesgericht,Vegan,Mensa Rempartstrae,images/2025-05-15/mensa-rempartstrae_tagesgericht.jpg
Currywurst oder planted Currywurst Pommes frites,no,no,Wochenangebot,Vegan auf Anfrage,Mensa Rempartstrae,images/2025-05-15/mensa-rempartstrae_wochenangebot.jpg
Tortellini gefullt mit Ricotta und Spinat Basilikum-Kasesauce Fruhlingszwiebel Tomatenwurfel und geriebener Emmentaler,no,no,Essen 1,Vegetarisch,Mensa Institutsviertel,images/2025-05-15/mensa-institutsviertel_essen-1.jpg
Pfannengyros vom Schwein Krauter-Joghurtdip Indischer Gewurzreis Karotten-Krautsalat,no,no,Essen 2,Nicht-vegetarisch,Mensa Institutsviertel,images/2025-05-15/mensa-institutsviertel_essen-2.jpg
Bio-Hirsesalat mit Gemuse Kurbiskernen und Cranberrys Currydip Fladenbrot,no,no,Schneller Teller,Vegan,Mensa Institutsviertel,images/2025-05-15/mensa-institutsviertel_schneller-teller.jpg
Dicke Fritten Chilli von Erbsenprotein Jalapenos Rucola Knoblauchol Peperoniol Geriebener Kase,no,no,Wochenangebot,Vegan auf Anfrage,Mensa Institutsviertel,images/2025-05-15/mensa-institutsviertel_wochenangebot.jpg
Kasespatzle Champignon-Rahmsauce,no,no,Essen 1,Vegetarisch,Mensa Flugplatz,images/2025-05-14/mensa-flugplatz_essen-1.jpg
Bulgursalat Melone mit Bio-Tofuwurfel Blattspinat Verschiedene Baguette,no,no,Essen 2,Vegetarisch,Mensa Flugplatz,images/2025-05-14/mensa-flugplatz_essen-2.jpg
Pasta-Kreationen aus unserer eigenen Pasta-Manufaktur mit verschiedenen Saucen und Toppings,no,no,Essen 3,Vegan,Mensa Flugplatz,images/2025-05-14/mensa-flugplatz_essen-3.jpg
Dicke Fritten Chilli von Erbsenprotein Jalapenos Rucola Knoblauchol Peperoniol Geriebener Kase,no,no,Wochenangebot,Vegan auf Anfrage,Mensa Flugplatz,images/2025-05-14/mensa-flugplatz_wochenangebot.jpg
Currywurst oder planted Currywurst Pommes frites,no,no,Wochenangebot,Vegan auf Anfrage,Mensa Rempartstrae,images/2025-05-14/mensa-rempartstrae_wochenangebot.jpg
Bulgursalat Melone mit Bio-Tofuwurfel Blattspinat Verschiedene Baguette,no,no,Essen 2,Vegetarisch,Mensa Institutsviertel,images/2025-05-14/mensa-institutsviertel_essen-2.jpg
Misosuppe vegetarisch und mit Fleisch Baguette,no,no,Essen 3,Vegan auf Anfrage,Mensa Institutsviertel,images/2025-05-14/mensa-institutsviertel_essen-3.jpg
Dicke Fritten Chilli von Erbsenprotein Jalapenos Rucola Knoblauchol Peperoniol Geriebener Kase,no,no,Wochenangebot,Vegan auf Anfrage,Mensa Institutsviertel,images/2025-05-14/mensa-institutsviertel_wochenangebot.jpg
Ofenkartoffel Erbsen-Guacamole Bohnencreme,no,no,Essen 1,Vegan,Mensa Flugplatz,images/2025-05-13/mensa-flugplatz_essen-1.jpg
Hamburger TS mit Rindfleisch Kase Tomate Salat Pommes frites,no,no,Essen 2,Nicht-vegetarisch,Mensa Flugplatz,images/2025-05-13/mensa-flugplatz_essen-2.jpg
Pasta-Kreationen aus unserer eigenen Pasta-Manufaktur mit verschiedenen Saucen und Toppings,no,no,Essen 3,Vegan,Mensa Flugplatz,images/2025-05-13/mensa-flugplatz_essen-3.jpg
Dicke Fritten Chilli von Erbsenprotein Jalapenos Rucola Knoblauchol Peperoniol Geriebener Kase,no,no,Wochenangebot,Vegan auf Anfrage,Mensa Flugplatz,images/2025-05-13/mensa-flugplatz_wochenangebot.jpg
Currywurst oder planted Currywurst Pommes frites,no,no,Wochenangebot,Vegan auf Anfrage,Mensa Rempartstrae,images/2025-05-13/mensa-rempartstrae_wochenangebot.jpg
Ofenkartoffel Erbsen-Guacamole Bohnencreme,no,no,Essen 1,Vegan,Mensa Institutsviertel,images/2025-05-13/mensa-institutsviertel_essen-1.jpg
Hamburger TS mit Rindfleisch Kase Tomate Salat Pommes frites,no,no,Essen 2,Nicht-vegetarisch,Mensa Institutsviertel,images/2025-05-13/mensa-institutsviertel_essen-2.jpg
Pasta-Kreationen aus unserer eigenen Pasta-Manufaktur mit verschiedenen Saucen und Toppings,no,no,Essen 3,Vegan,Mensa Institutsviertel,images/2025-05-13/mensa-institutsviertel_essen-3.jpg
Dicke Fritten Chilli von Erbsenprotein Jalapenos Rucola Knoblauchol Peperoniol Geriebener Kase,no,no,Wochenangebot,Vegan auf Anfrage,Mensa Institutsviertel,images/2025-05-13/mensa-institutsviertel_wochenangebot.jpg
Texaspfanne mit Sojastreifen und roten Bohnen Paprikadip Country Potatoes,no,no,Essen 1,Vegan,Mensa Flugplatz,images/2025-05-12/mensa-flugplatz_essen-1.jpg
Hahnchen-Knusperschnitzel Tomatenragout Fusilli Geriebener Hartkase,no,no,Essen 2,Nicht-vegetarisch,Mensa Flugplatz,images/2025-05-12/mensa-flugplatz_essen-2.jpg
Pasta-Kreationen aus unserer eigenen Pasta-Manufaktur mit verschiedenen Saucen und Toppings,no,no,Essen 3,Vegan,Mensa Flugplatz,images/2025-05-12/mensa-flugplatz_essen-3.jpg
Dicke Fritten Chilli von Erbsenprotein Jalapenos Rucola Knoblauchol Peperoniol Geriebener Kase,no,no,Wochenangebot,Vegan auf Anfrage,Mensa Flugplatz,images/2025-05-12/mensa-flugplatz_wochenangebot.jpg
Currywurst oder planted Currywurst Pommes frites,no,no,Wochenangebot,Vegan auf Anfrage,Mensa Rempartstrae,images/2025-05-12/mensa-rempartstrae_wochenangebot.jpg
Texaspfanne mit Sojastreifen und roten Bohnen Paprikadip Country Potatoes,no,no,Essen 1,Vegan,Mensa Institutsviertel,images/2025-05-12/mensa-institutsviertel_essen-1.jpg
Hahnchen-Knusperschnitzel Tomatenragout Fusilli Geriebener Hartkase,no,no,Essen 2,Nicht-vegetarisch,Mensa Institutsviertel,images/2025-05-12/mensa-institutsviertel_essen-2.jpg
Pasta-Kreationen aus unserer eigenen Pasta-Manufaktur mit verschiedenen Saucen und Toppings,no,no,Essen 3,Vegan,Mensa Institutsviertel,images/2025-05-12/mensa-institutsviertel_essen-3.jpg
Dicke Fritten Chilli von Erbsenprotein Jalapenos Rucola Knoblauchol Peperoniol Geriebener Kase,no,no,Wochenangebot,Vegan auf Anfrage,Mensa Institutsviertel,images/2025-05-12/mensa-institutsviertel_wochenangebot.jpg
Samosa - Gefullte Teigtaschen Hoisinsauce Basmatireis Blattspinat,no,no,Essen 1,Vegan,Mensa Littenweiler,images/2025-05-12/mensa-littenweiler_essen-1.jpg
Thai Curry mit Gemuse und Soja Basmatireis Erdnusse,no,no,Essen 1,Vegan,Mensa Rempartstrae,images/2025-05-10/mensa-rempartstrae_essen-1.jpg
Hahnchen-Knusperschnitzel Tomatensauce Fusilli,no,no,Essen 2,Nicht-vegetarisch,Mensa Rempartstrae,images/2025-05-10/mensa-rempartstrae_essen-2.jpg
Mediterraner Nudelsalat mit Mozzarella Oliven getr. Tomaten Basilikum Blattsalat Baguette,no,no,Essen 1,Vegetarisch,Mensa Flugplatz,images/2025-05-09/mensa-flugplatz_essen-1.jpg
Milchreis Pfirsichkompott Zimtzucker,no,no,Schneller Teller,Vegetarisch,Mensa Flugplatz,images/2025-05-09/mensa-flugplatz_schneller-teller.jpg
Currywurst oder planted Currywurst Pommes frites,no,no,Wochenangebot,Vegan auf Anfrage,Mensa Flugplatz,images/2025-05-09/mensa-flugplatz_wochenangebot.jpg
Seelachsfilet in Krautermarinade Zitronencreme Kartoffelrosti Erbsenpuree,no,no,Essen 2,Nicht-vegetarisch,Mensa Rempartstrae,images/2025-05-09/mensa-rempartstrae_essen-2.jpg
Schupfnudel-Gemusepfanne Rahmsauce Blattsalat,no,no,Tagesgericht,Vegetarisch,Mensa Rempartstrae,images/2025-05-09/mensa-rempartstrae_tagesgericht.jpg
Mediterraner Nudelsalat mit Mozzarella Oliven getr. Tomaten Basilikum Blattsalat Baguette,no,no,Essen 1,Vegetarisch,Mensa Institutsviertel,images/2025-05-09/mensa-institutsviertel_essen-1.jpg
Currywurst oder planted Currywurst Pommes frites,no,no,Wochenangebot,Vegan auf Anfrage,Mensa Institutsviertel,images/2025-05-09/mensa-institutsviertel_wochenangebot.jpg
Currywurst oder planted Currywurst Pommes frites,no,no,Wochenangebot,Vegan auf Anfrage,Mensa Littenweiler,images/2025-05-09/mensa-littenweiler_wochenangebot.jpg
Mangold-Linsencurry mit Zitronenblattern Basmatireis Gurkendip Naan Brot,no,no,Essen 1,Vegan,Mensa Flugplatz,images/2025-05-08/mensa-flugplatz_essen-1.jpg
Putengeschnetzeltes Paprikasauce Kartoffelbrei Rahmwirsing,no,no,Essen 2,Nicht-vegetarisch,Mensa Flugplatz,images/2025-05-08/mensa-flugplatz_essen-2.jpg
Misosuppe vegetarisch und mit Fleisch Baguette,no,no,Essen 3,Vegan auf Anfrage,Mensa Flugplatz,images/2025-05-08/mensa-flugplatz_essen-3.jpg
Currywurst oder planted Currywurst Pommes frites,no,no,Wochenangebot,Vegan auf Anfrage,Mensa Flugplatz,images/2025-05-08/mensa-flugplatz_wochenangebot.jpg
Blumenkohlburger mit Harissa-Mayonnaise Aubergine und Rucola Pommes frites,no,no,Tagesgericht,Vegan,Mensa Rempartstrae,images/2025-05-08/mensa-rempartstrae_tagesgericht.jpg
Mangold-Linsencurry mit Zitronenblattern Basmatireis Gurkendip Naan Brot,no,no,Essen 1,Vegan,Mensa Institutsviertel,images/2025-05-08/mensa-institutsviertel_essen-1.jpg
Putengeschnetzeltes Paprikasauce Kartoffelbrei Rahmwirsing,no,no,Essen 2,Nicht-vegetarisch,Mensa Institutsviertel,images/2025-05-08/mensa-institutsviertel_essen-2.jpg
Aglio Spaghetti mit getrockneten Tomaten,no,no,Schneller Teller,Vegan,Mensa Institutsviertel,images/2025-05-08/mensa-institutsviertel_schneller-teller.jpg
Currywurst oder planted Currywurst Pommes frites,no,no,Wochenangebot,Vegan auf Anfrage,Mensa Institutsviertel,images/2025-05-08/mensa-institutsviertel_wochenangebot.jpg
Currywurst oder planted Currywurst Pommes frites,no,no,Wochenangebot,Vegan auf Anfrage,Mensa Littenweiler,images/2025-05-08/mensa-littenweiler_wochenangebot.jpg
Dampfnudel Vanillesauce Mohnbutter Apfelmus,no,no,Essen 1,Vegetarisch,Mensa Flugplatz,images/2025-05-07/mensa-flugplatz_essen-1.jpg
Linsen-Bolognese Spaghetti Ruccolapesto Geriebener Hartkase,no,no,Essen 2,Vegan auf Anfrage,Mensa Flugplatz,images/2025-05-07/mensa-flugplatz_essen-2.jpg
Pasta-Kreationen aus unserer eigenen Pasta-Manufaktur mit verschiedenen Saucen und Toppings,no,no,Essen 3,Vegan,Mensa Flugplatz,images/2025-05-07/mensa-flugplatz_essen-3.jpg
Currywurst oder planted Currywurst Pommes frites,no,no,Wochenangebot,Vegan auf Anfrage,Mensa Flugplatz,images/2025-05-07/mensa-flugplatz_wochenangebot.jpg
Puten-Zucchini-Kofte Linsen-Reis mit Rostzwiebeln Joghurtsauce Tomate-Gurke,no,no,Essen 2,Nicht-vegetarisch,Mensa Rempartstrae,images/2025-05-07/mensa-rempartstrae_essen-2.jpg
Dampfnudel Vanillesauce Mohnbutter Apfelmus,no,no,Essen 1,Vegetarisch,Mensa Institutsviertel,images/2025-05-07/mensa-institutsviertel_essen-1.jpg
Linsen-Bolognese Spaghetti Ruccolapesto Geriebener Hartkase,no,no,Essen 2,Vegan auf Anfrage,Mensa Institutsviertel,images/2025-05-07/mensa-institutsviertel_essen-2.jpg
Misosuppe vegetarisch und mit Fleisch Baguette,no,no,Essen 3,Vegan auf Anfrage,Mensa Institutsviertel,images/2025-05-07/mensa-institutsviertel_essen-3.jpg
Currywurst oder planted Currywurst Pommes frites,no,no,Wochenangebot,Vegan auf Anfrage,Mensa Institutsviertel,images/2025-05-07/mensa-institutsviertel_wochenangebot.jpg
Currywurst oder planted Currywurst Pommes frites,no,no,Wochenangebot,Vegan auf Anfrage,Mensa Littenweiler,images/2025-05-07/mensa-littenweiler_wochenangebot.jpg
Cannelloni mit Gemuse und Kasekruste Tomatensauce Petersilienpesto,no,no,Essen 1,Vegetarisch,Mensa Flugplatz,images/2025-05-06/mensa-flugplatz_essen-1.jpg
Schweinegeschnetzeltes Zuricher Art Risoleekartoffeln Krauterpesto,no,no,Essen 2,Nicht-vegetarisch,Mensa Flugplatz,images/2025-05-06/mensa-flugplatz_essen-2.jpg
Pasta-Kreationen aus unserer eigenen Pasta-Manufaktur mit verschiedenen Saucen und Toppings,no,no,Essen 3,Vegan,Mensa Flugplatz,images/2025-05-06/mensa-flugplatz_essen-3.jpg
Currywurst oder planted Currywurst Pommes frites,no,no,Wochenangebot,Vegan auf Anfrage,Mensa Flugplatz,images/2025-05-06/mensa-flugplatz_wochenangebot.jpg
Cannelloni mit Gemuse und Kasekruste Tomatensauce Petersilienpesto,no,no,Essen 1,Vegetarisch,Mensa Institutsviertel,images/2025-05-06/mensa-institutsviertel_essen-1.jpg
Schweinegeschnetzeltes Zuricher Art Risoleekartoffeln Krauterpesto,no,no,Essen 2,Nicht-vegetarisch,Mensa Institutsviertel,images/2025-05-06/mensa-institutsviertel_essen-2.jpg
Pasta-Kreationen aus unserer eigenen Pasta-Manufaktur mit verschiedenen Saucen und Toppings,no,no,Essen 3,Vegan,Mensa Institutsviertel,images/2025-05-06/mensa-institutsviertel_essen-3.jpg
Karotten-Kokossuppe Kornerbrotchen,no,no,Schneller Teller,Vegan,Mensa Institutsviertel,images/2025-05-06/mensa-institutsviertel_schneller-teller.jpg
Currywurst oder planted Currywurst Pommes frites,no,no,Wochenangebot,Vegan auf Anfrage,Mensa Institutsviertel,images/2025-05-06/mensa-institutsviertel_wochenangebot.jpg
Currywurst oder planted Currywurst Pommes frites,no,no,Wochenangebot,Vegan auf Anfrage,Mensa Littenweiler,images/2025-05-06/mensa-littenweiler_wochenangebot.jpg
Mini Fruhlingsrollen Sauce su-sauer Basmatireis,no,no,Essen 1,Vegan,Mensa Flugplatz,images/2025-05-05/mensa-flugplatz_essen-1.jpg
Pasta-Kreationen aus unserer eigenen Pasta-Manufaktur mit verschiedenen Saucen und Toppings,no,no,Essen 3,Vegan,Mensa Flugplatz,images/2025-05-05/mensa-flugplatz_essen-3.jpg
Currywurst oder planted Currywurst Pommes frites,no,no,Wochenangebot,Vegan auf Anfrage,Mensa Flugplatz,images/2025-05-05/mensa-flugplatz_wochenangebot.jpg
Mini Fruhlingsrollen Sauce su-sauer Basmatireis,no,no,Essen 1,Vegan,Mensa Institutsviertel,images/2025-05-05/mensa-institutsviertel_essen-1.jpg
Pasta-Kreationen aus unserer eigenen Pasta-Manufaktur mit verschiedenen Saucen und Toppings,no,no,Essen 3,Vegan,Mensa Institutsviertel,images/2025-05-05/mensa-institutsviertel_essen-3.jpg
Penne all arrabbiata Geriebener Hartkase,no,no,Schneller Teller,Vegan auf Anfrage,Mensa Institutsviertel,images/2025-05-05/mensa-institutsviertel_schneller-teller.jpg
Currywurst oder planted Currywurst Pommes frites,no,no,Wochenangebot,Vegan auf Anfrage,Mensa Institutsviertel,images/2025-05-05/mensa-institutsviertel_wochenangebot.jpg
Schupfnudeln Rahmsauce,no,no,Abendessen 1,Vegan,Mensa Institutsviertel,images/2025-05-05/mensa-institutsviertel_abendessen-1.jpg
Currywurst oder planted Currywurst Pommes frites,no,no,Wochenangebot,Vegan auf Anfrage,Mensa Littenweiler,images/2025-05-05/mensa-littenweiler_wochenangebot.jpg
Mangold-Linsencurry mit Zitronenblattern Basmatireis Naan Brot,no,no,Essen 1,Vegan,Mensa Rempartstrae,images/2025-05-03/mensa-rempartstrae_essen-1.jpg
Spaghetti Bolognese mit Bio-Rind Geriebener Hartkase,no,no,Essen 2,Nicht-vegetarisch,Mensa Rempartstrae,images/2025-05-03/mensa-rempartstrae_essen-2.jpg
Gronsaksbullar Tomatenragout Krauter-Kasespatzle,no,no,Essen 1,Vegetarisch,Mensa Flugplatz,images/2025-05-02/mensa-flugplatz_essen-1.jpg
Fischfilet Krauterkartoffeln Remouladensauce,no,no,Essen 2,Nicht-vegetarisch,Mensa Flugplatz,images/2025-05-02/mensa-flugplatz_essen-2.jpg
Milchreis Erdbeerkompott Zimtzucker,no,no,Essen 3,Vegetarisch,Mensa Flugplatz,images/2025-05-02/mensa-flugplatz_essen-3.jpg
Dicke Fritten Chili con Carne Knoblauchol Peperoniol Geriebener Mozzarella,no,no,Wochenangebot,Nicht-vegetarisch,Mensa Flugplatz,images/2025-05-02/mensa-flugplatz_wochenangebot.jpg
Texaspfanne mit Sojastreifen und roten Bohnen Paprikadip Country Potatoes,no,no,Essen 1,Vegan,Mensa Rempartstrae,images/2025-05-02/mensa-rempartstrae_essen-1.jpg
Sojagyros Zaziki Gemusereis Karotten-Krautsalat,no,no,Tagesgericht,Vegan auf Anfrage,Mensa Rempartstrae,images/2025-05-02/mensa-rempartstrae_tagesgericht.jpg
Currywurst oder planted Currywurst Pommes frites,no,no,Wochenangebot,Vegan auf Anfrage,Mensa Rempartstrae,images/2025-05-02/mensa-rempartstrae_wochenangebot.jpg
Gronsaksbullar Tomatenragout Krauter-Kasespatzle,no,no,Essen 1,Vegetarisch,Mensa Institutsviertel,images/2025-05-02/mensa-institutsviertel_essen-1.jpg
Fischfilet Krauterkartoffeln Remouladensauce,no,no,Essen 2,Nicht-vegetarisch,Mensa Institutsviertel,images/2025-05-02/mensa-institutsviertel_essen-2.jpg
Dicke Fritten Chili con Carne Knoblauchol Peperoniol Geriebener Mozzarella,no,no,Wochenangebot,Nicht-vegetarisch,Mensa Institutsviertel,images/2025-05-02/mensa-institutsviertel_wochenangebot.jpg
Spaghetti Weizen-Gemusebolognese,no,no,Essen 1,Vegan,Mensa Flugplatz,images/2025-04-30/mensa-flugplatz_essen-1.jpg
Gebackener marinierter Hirtenkase in Pergament Gemusesalat Erbsen-Guacamole Fladenbrot,no,no,Essen 2,Vegetarisch,Mensa Flugplatz,images/2025-04-30/mensa-flugplatz_essen-2.jpg
Misosuppe vegetarisch und mit Fleisch Baguette,no,no,Essen 3,Vegan auf Anfrage,Mensa Flugplatz,images/2025-04-30/mensa-flugplatz_essen-3.jpg
Dicke Fritten Chili con Carne Knoblauchol Peperoniol Geriebener Mozzarella,no,no,Wochenangebot,Nicht-vegetarisch,Mensa Flugplatz,images/2025-04-30/mensa-flugplatz_wochenangebot.jpg
Currywurst oder planted Currywurst Pommes frites,no,no,Wochenangebot,Vegan auf Anfrage,Mensa Rempartstrae,images/2025-04-30/mensa-rempartstrae_wochenangebot.jpg
Spaghetti Weizen-Gemusebolognese,no,no,Essen 1,Vegan,Mensa Institutsviertel,images/2025-04-30/mensa-institutsviertel_essen-1.jpg
Gebackener marinierter Hirtenkase in Pergament Gemusesalat Erbsen-Guacamole Fladenbrot,no,no,Essen 2,Vegetarisch,Mensa Institutsviertel,images/2025-04-30/mensa-institutsviertel_essen-2.jpg
Misosuppe vegetarisch und mit Fleisch Baguette,no,no,Essen 3,Vegan auf Anfrage,Mensa Institutsviertel,images/2025-04-30/mensa-institutsviertel_essen-3.jpg
Mango-Weizen Tabouleh mit Krautern Avocadodip Kornerbaguette,no,no,Schneller Teller,Vegan,Mensa Institutsviertel,images/2025-04-30/mensa-institutsviertel_schneller-teller.jpg
Dicke Fritten Chili con Carne Knoblauchol Peperoniol Geriebener Mozzarella,no,no,Wochenangebot,Nicht-vegetarisch,Mensa Institutsviertel,images/2025-04-30/mensa-institutsviertel_wochenangebot.jpg
Sojagyros Gurkendip Pommes frites,no,no,Abendessen 1,Vegan,Mensa Institutsviertel,images/2025-04-30/mensa-institutsviertel_abendessen-1.jpg
Pasta-Kreationen aus unserer eigenen Pasta-Manufaktur mit verschiedenen Saucen und Toppings,no,no,Essen 3,Vegan,Mensa Littenweiler,images/2025-04-30/mensa-littenweiler_essen-3.jpg
Kaiserschmarrn Apfelmus,no,no,Essen 1,Vegetarisch,Mensa Flugplatz,images/2025-04-29/mensa-flugplatz_essen-1.jpg
Hahnchenkeule gebraten Krauter-Joghurtdip Pommes frites,no,no,Essen 2,Nicht-vegetarisch,Mensa Flugplatz,images/2025-04-29/mensa-flugplatz_essen-2.jpg
Pasta-Kreationen aus unserer eigenen Pasta-Manufaktur mit verschiedenen Saucen und Toppings,no,no,Essen 3,Vegan,Mensa Flugplatz,images/2025-04-29/mensa-flugplatz_essen-3.jpg
Dicke Fritten Chili con Carne Knoblauchol Peperoniol Geriebener Mozzarella,no,no,Wochenangebot,Nicht-vegetarisch,Mensa Flugplatz,images/2025-04-29/mensa-flugplatz_wochenangebot.jpg
Bio-Rinderbraten Rotweinsauce Kartoffelkroketten Rotkraut,no,no,Essen 2,Nicht-vegetarisch,Mensa Rempartstrae,images/2025-04-29/mensa-rempartstrae_essen-2.jpg
Currywurst oder planted Currywurst Pommes frites,no,no,Wochenangebot,Vegan auf Anfrage,Mensa Rempartstrae,images/2025-04-29/mensa-rempartstrae_wochenangebot.jpg
Kaiserschmarrn Apfelmus,no,no,Essen 1,Vegetarisch,Mensa Institutsviertel,images/2025-04-29/mensa-institutsviertel_essen-1.jpg
Hahnchenkeule gebraten Krauter-Joghurtdip Pommes frites,no,no,Essen 2,Nicht-vegetarisch,Mensa Institutsviertel,images/2025-04-29/mensa-institutsviertel_essen-2.jpg
Pasta-Kreationen aus unserer eigenen Pasta-Manufaktur mit verschiedenen Saucen und Toppings,no,no,Essen 3,Vegan,Mensa Institutsviertel,images/2025-04-29/mensa-institutsviertel_essen-3.jpg
Dicke Fritten Chili con Carne Knoblauchol Peperoniol Geriebener Mozzarella,no,no,Wochenangebot,Nicht-vegetarisch,Mensa Institutsviertel,images/2025-04-29/mensa-institutsviertel_wochenangebot.jpg
Pasta-Kreationen aus unserer eigenen Pasta-Manufaktur mit verschiedenen Saucen und Toppings,no,no,Essen 3,Vegan,Mensa Littenweiler,images/2025-04-29/mensa-littenweiler_essen-3.jpg
Bunter Salat mit Tomate Mozzarella und Basilikum Griechischer Bauernsalat Baguette,no,no,Essen 1,Vegan auf Anfrage,Mensa Flugplatz,images/2025-04-28/mensa-flugplatz_essen-1.jpg
Gulasch mit Bio-Rind Ungarische Art Butternudeln,no,no,Essen 2,Nicht-vegetarisch,Mensa Flugplatz,images/2025-04-28/mensa-flugplatz_essen-2.jpg
Pasta-Kreationen aus unserer eigenen Pasta-Manufaktur mit verschiedenen Saucen und Toppings,no,no,Essen 3,Vegan,Mensa Flugplatz,images/2025-04-28/mensa-flugplatz_essen-3.jpg
Dicke Fritten Chili con Carne Knoblauchol Peperoniol Geriebener Mozzarella,no,no,Wochenangebot,Nicht-vegetarisch,Mensa Flugplatz,images/2025-04-28/mensa-flugplatz_wochenangebot.jpg
