description,Beilagensalat,Regio Apfel,type,diet,mensa,image_path
Pan‑fried pork gyros; herb yoghurt dip; spiced Indian rice; carrot coleslaw,,,,,,aug/mensa-flugplatz_essen-2_aug0036.jpg
Pan‑fried pork gyros; herb yoghurt dip; spiced Indian rice; carrot coleslaw,,,,,,aug/mensa-flugplatz_essen-2_aug0037.jpg
Pan‑fried pork gyros; herb yoghurt dip; spiced Indian rice; carrot coleslaw,,,,,,aug/mensa-flugplatz_essen-2_aug0038.jpg
Pan‑fried pork gyros; herb yoghurt dip; spiced Indian rice; carrot coleslaw,,,,,,aug/mensa-flugplatz_essen-2_aug0039.jpg
Soy gyros; tzatziki; vegetable rice; carrot coleslaw,,,,,,aug/mensa-rempartstrae_tagesgericht_aug0044.jpg
Soy gyros; tzatziki; vegetable rice; carrot coleslaw,,,,,,aug/mensa-rempartstrae_tagesgericht_aug0045.jpg
Soy gyros; tzatziki; vegetable rice; carrot coleslaw,,,,,,aug/mensa-rempartstrae_tagesgericht_aug0046.jpg
Soy gyros; tzatziki; vegetable rice; carrot coleslaw,,,,,,aug/mensa-rempartstrae_tagesgericht_aug0047.jpg
Stuffed peppers; baked potato and sweet‑potato wedges; Spanish beans,,,,,,aug/mensa-flugplatz_essen-1_aug0052.jpg
Stuffed peppers; baked potato and sweet‑potato wedges; Spanish beans,,,,,,aug/mensa-flugplatz_essen-1_aug0053.jpg
Stuffed peppers; baked potato and sweet‑potato wedges; Spanish beans,,,,,,aug/mensa-flugplatz_essen-1_aug0054.jpg
Stuffed peppers; baked potato and sweet‑potato wedges; Spanish beans,,,,,,aug/mensa-flugplatz_essen-1_aug0055.jpg
Falafel with mango chutney; fried vegetable rice nasi goreng,,,,,,aug/mensa-flugplatz_essen-1_aug0060.jpg
Falafel with mango chutney; fried vegetable rice nasi goreng,,,,,,aug/mensa-flugplatz_essen-1_aug0061.jpg
Falafel with mango chutney; fried vegetable rice nasi goreng,,,,,,aug/mensa-flugplatz_essen-1_aug0062.jpg
Falafel with mango chutney; fried vegetable rice nasi goreng,,,,,,aug/mensa-flugplatz_essen-1_aug0063.jpg
Spicy vegetable coconut soup with organic tofu; baguette,,,,,,aug/mensa-institutsviertel_schneller-teller_aug0048.jpg
Spicy vegetable coconut soup with organic tofu; baguette,,,,,,aug/mensa-institutsviertel_schneller-teller_aug0049.jpg
Spicy vegetable coconut soup with organic tofu; baguette,,,,,,aug/mensa-institutsviertel_schneller-teller_aug0050.jpg
Spicy vegetable coconut soup with organic tofu; baguette,,,,,,aug/mensa-institutsviertel_schneller-teller_aug0051.jpg
Superfood salad with organic smoked tofu,,,,,,aug/mensa-institutsviertel_schneller-teller_aug0056.jpg
Superfood salad with organic smoked tofu,,,,,,aug/mensa-institutsviertel_schneller-teller_aug0057.jpg
Superfood salad with organic smoked tofu,,,,,,aug/mensa-institutsviertel_schneller-teller_aug0058.jpg
Superfood salad with organic smoked tofu,,,,,,aug/mensa-institutsviertel_schneller-teller_aug0059.jpg
Miso soup (vegetarian and with meat options); baguette,,,,,,aug/mensa-flugplatz_essen-3_aug0076.jpg
Miso soup (vegetarian and with meat options); baguette,,,,,,aug/mensa-flugplatz_essen-3_aug0077.jpg
Miso soup (vegetarian and with meat options); baguette,,,,,,aug/mensa-flugplatz_essen-3_aug0078.jpg
Miso soup (vegetarian and with meat options); baguette,,,,,,aug/mensa-flugplatz_essen-3_aug0079.jpg
Thick‑cut fries with pulled pork or Planted™ pulled BBQ; ranch dip; carrot coleslaw,,,,,,aug/mensa-rempartstrae_wochenangebot_aug0068.jpg
Thick‑cut fries with pulled pork or Planted™ pulled BBQ; ranch dip; carrot coleslaw,,,,,,aug/mensa-rempartstrae_wochenangebot_aug0069.jpg
Thick‑cut fries with pulled pork or Planted™ pulled BBQ; ranch dip; carrot coleslaw,,,,,,aug/mensa-rempartstrae_wochenangebot_aug0070.jpg
Thick‑cut fries with pulled pork or Planted™ pulled BBQ; ranch dip; carrot coleslaw,,,,,,aug/mensa-rempartstrae_wochenangebot_aug0071.jpg
Swiss‑chard and lentil curry with lemon leaves; basmati rice; naan bread,,,,,,aug/mensa-rempartstrae_essen-1_aug0064.jpg
Swiss‑chard and lentil curry with lemon leaves; basmati rice; naan bread,,,,,,aug/mensa-rempartstrae_essen-1_aug0065.jpg
Swiss‑chard and lentil curry with lemon leaves; basmati rice; naan bread,,,,,,aug/mensa-rempartstrae_essen-1_aug0066.jpg
Swiss‑chard and lentil curry with lemon leaves; basmati rice; naan bread,,,,,,aug/mensa-rempartstrae_essen-1_aug0067.jpg
Rigatoni with asparagus vegetable ragout; herb pesto; grated hard cheese,,,,,,aug/mensa-flugplatz_essen-1_aug0072.jpg
Rigatoni with asparagus vegetable ragout; herb pesto; grated hard cheese,,,,,,aug/mensa-flugplatz_essen-1_aug0073.jpg
Rigatoni with asparagus vegetable ragout; herb pesto; grated hard cheese,,,,,,aug/mensa-flugplatz_essen-1_aug0074.jpg
Rigatoni with asparagus vegetable ragout; herb pesto; grated hard cheese,,,,,,aug/mensa-flugplatz_essen-1_aug0075.jpg
Ravioli filled with ricotta and spinach; pesto; pearl‑barley risotto; sheep’s cheese topping; leafy salad,,,,,,aug/mensa-rempartstrae_essen-2_aug0080.jpg
Ravioli filled with ricotta and spinach; pesto; pearl‑barley risotto; sheep’s cheese topping; leafy salad,,,,,,aug/mensa-rempartstrae_essen-2_aug0081.jpg
Ravioli filled with ricotta and spinach; pesto; pearl‑barley risotto; sheep’s cheese topping; leafy salad,,,,,,aug/mensa-rempartstrae_essen-2_aug0082.jpg
Ravioli filled with ricotta and spinach; pesto; pearl‑barley risotto; sheep’s cheese topping; leafy salad,,,,,,aug/mensa-rempartstrae_essen-2_aug0083.jpg
Mango‑wheat tabbouleh with herbs; harissa dip; baguette,,,,,,aug/mensa-rempartstrae_schneller-teller_aug0084.jpg
Mango‑wheat tabbouleh with herbs; harissa dip; baguette,,,,,,aug/mensa-rempartstrae_schneller-teller_aug0085.jpg
Mango‑wheat tabbouleh with herbs; harissa dip; baguette,,,,,,aug/mensa-rempartstrae_schneller-teller_aug0086.jpg
Mango‑wheat tabbouleh with herbs; harissa dip; baguette,,,,,,aug/mensa-rempartstrae_schneller-teller_aug0087.jpg
Vegetable‑filled cannelloni with cheese crust; tomato sauce; parsley pesto,,,,,,aug/mensa-flugplatz_essen-1_aug0092.jpg
Vegetable‑filled cannelloni with cheese crust; tomato sauce; parsley pesto,,,,,,aug/mensa-flugplatz_essen-1_aug0093.jpg
Vegetable‑filled cannelloni with cheese crust; tomato sauce; parsley pesto,,,,,,aug/mensa-flugplatz_essen-1_aug0094.jpg
Vegetable‑filled cannelloni with cheese crust; tomato sauce; parsley pesto,,,,,,aug/mensa-flugplatz_essen-1_aug0095.jpg
"Lemon‑herb noodles with tomatoes, rocket and basil; organic smoked tofu; tomato sugo; parsley pesto",,,,,,aug/mensa-littenweiler_essen-1_aug0088.jpg
"Lemon‑herb noodles with tomatoes, rocket and basil; organic smoked tofu; tomato sugo; parsley pesto",,,,,,aug/mensa-littenweiler_essen-1_aug0089.jpg
"Lemon‑herb noodles with tomatoes, rocket and basil; organic smoked tofu; tomato sugo; parsley pesto",,,,,,aug/mensa-littenweiler_essen-1_aug0090.jpg
"Lemon‑herb noodles with tomatoes, rocket and basil; organic smoked tofu; tomato sugo; parsley pesto",,,,,,aug/mensa-littenweiler_essen-1_aug0091.jpg
Zucchini‑ricotta balls; red pepper ragout; pasta risotto,,,,,,aug/mensa-rempartstrae_essen-1_aug0096.jpg
Zucchini‑ricotta balls; red pepper ragout; pasta risotto,,,,,,aug/mensa-rempartstrae_essen-1_aug0097.jpg
Zucchini‑ricotta balls; red pepper ragout; pasta risotto,,,,,,aug/mensa-rempartstrae_essen-1_aug0098.jpg
Zucchini‑ricotta balls; red pepper ragout; pasta risotto,,,,,,aug/mensa-rempartstrae_essen-1_aug0099.jpg
Mixed salad plate; cream cheese spread; baguette,,,,,,aug/mensa-flugplatz_essen-1_aug0124.jpg
Mixed salad plate; cream cheese spread; baguette,,,,,,aug/mensa-flugplatz_essen-1_aug0125.jpg
Mixed salad plate; cream cheese spread; baguette,,,,,,aug/mensa-flugplatz_essen-1_aug0126.jpg
Mixed salad plate; cream cheese spread; baguette,,,,,,aug/mensa-flugplatz_essen-1_aug0127.jpg
Vegan filet strips; hummus; vegetable salad; flatbread,,,,,,aug/mensa-rempartstrae_tagesgericht_aug0104.jpg
Vegan filet strips; hummus; vegetable salad; flatbread,,,,,,aug/mensa-rempartstrae_tagesgericht_aug0105.jpg
Vegan filet strips; hummus; vegetable salad; flatbread,,,,,,aug/mensa-rempartstrae_tagesgericht_aug0106.jpg
Vegan filet strips; hummus; vegetable salad; flatbread,,,,,,aug/mensa-rempartstrae_tagesgericht_aug0107.jpg
Spaghetti with wheat‑vegetable Bolognese,,,,,,aug/mensa-littenweiler_essen-1_aug0120.jpg
Spaghetti with wheat‑vegetable Bolognese,,,,,,aug/mensa-littenweiler_essen-1_aug0121.jpg
Spaghetti with wheat‑vegetable Bolognese,,,,,,aug/mensa-littenweiler_essen-1_aug0122.jpg
Spaghetti with wheat‑vegetable Bolognese,,,,,,aug/mensa-littenweiler_essen-1_aug0123.jpg
Turkey‑zucchini kofta; lentil rice with crispy onions; yoghurt sauce; tomato‑cucumber salad,,,,,,aug/mensa-rempartstrae_essen-2_aug0100.jpg
Turkey‑zucchini kofta; lentil rice with crispy onions; yoghurt sauce; tomato‑cucumber salad,,,,,,aug/mensa-rempartstrae_essen-2_aug0101.jpg
Turkey‑zucchini kofta; lentil rice with crispy onions; yoghurt sauce; tomato‑cucumber salad,,,,,,aug/mensa-rempartstrae_essen-2_aug0102.jpg
Turkey‑zucchini kofta; lentil rice with crispy onions; yoghurt sauce; tomato‑cucumber salad,,,,,,aug/mensa-rempartstrae_essen-2_aug0103.jpg
Miso soup (vegetarian or with meat); baguette,,,,,,aug/mensa-institutsviertel_essen-3_aug0108.jpg
Miso soup (vegetarian or with meat); baguette,,,,,,aug/mensa-institutsviertel_essen-3_aug0109.jpg
Miso soup (vegetarian or with meat); baguette,,,,,,aug/mensa-institutsviertel_essen-3_aug0110.jpg
Miso soup (vegetarian or with meat); baguette,,,,,,aug/mensa-institutsviertel_essen-3_aug0111.jpg
Potato pancakes with pea guacamole; herb yoghurt dip,,,,,,aug/mensa-institutsviertel_abendessen-1_aug0116.jpg
Potato pancakes with pea guacamole; herb yoghurt dip,,,,,,aug/mensa-institutsviertel_abendessen-1_aug0117.jpg
Potato pancakes with pea guacamole; herb yoghurt dip,,,,,,aug/mensa-institutsviertel_abendessen-1_aug0118.jpg
Potato pancakes with pea guacamole; herb yoghurt dip,,,,,,aug/mensa-institutsviertel_abendessen-1_aug0119.jpg
Mango‑wheat tabbouleh with herbs; avocado dip; seeded baguette,,,,,,aug/mensa-institutsviertel_schneller-teller_aug0112.jpg
Mango‑wheat tabbouleh with herbs; avocado dip; seeded baguette,,,,,,aug/mensa-institutsviertel_schneller-teller_aug0113.jpg
Mango‑wheat tabbouleh with herbs; avocado dip; seeded baguette,,,,,,aug/mensa-institutsviertel_schneller-teller_aug0114.jpg
Mango‑wheat tabbouleh with herbs; avocado dip; seeded baguette,,,,,,aug/mensa-institutsviertel_schneller-teller_aug0115.jpg
Poultry pan gyros; yoghurt‑cucumber dip; French fries; white‑cabbage carrot salad,,,,,,aug/mensa-flugplatz_essen-2_aug0128.jpg
Poultry pan gyros; yoghurt‑cucumber dip; French fries; white‑cabbage carrot salad,,,,,,aug/mensa-flugplatz_essen-2_aug0129.jpg
Poultry pan gyros; yoghurt‑cucumber dip; French fries; white‑cabbage carrot salad,,,,,,aug/mensa-flugplatz_essen-2_aug0130.jpg
Poultry pan gyros; yoghurt‑cucumber dip; French fries; white‑cabbage carrot salad,,,,,,aug/mensa-flugplatz_essen-2_aug0131.jpg
"Mixed salad with tomato, mozzarella and basil; baguette",,,,,,aug/mensa-rempartstrae_tagesgericht_aug0144.jpg
"Mixed salad with tomato, mozzarella and basil; baguette",,,,,,aug/mensa-rempartstrae_tagesgericht_aug0145.jpg
"Mixed salad with tomato, mozzarella and basil; baguette",,,,,,aug/mensa-rempartstrae_tagesgericht_aug0146.jpg
"Mixed salad with tomato, mozzarella and basil; baguette",,,,,,aug/mensa-rempartstrae_tagesgericht_aug0147.jpg
Lentil Bolognese with spaghetti; rocket pesto; grated hard cheese,,,,,,aug/mensa-flugplatz_essen-1_aug0136.jpg
Lentil Bolognese with spaghetti; rocket pesto; grated hard cheese,,,,,,aug/mensa-flugplatz_essen-1_aug0137.jpg
Lentil Bolognese with spaghetti; rocket pesto; grated hard cheese,,,,,,aug/mensa-flugplatz_essen-1_aug0138.jpg
Lentil Bolognese with spaghetti; rocket pesto; grated hard cheese,,,,,,aug/mensa-flugplatz_essen-1_aug0139.jpg
Rice pudding with peach compote and cinnamon sugar,,,,,,aug/mensa-flugplatz_essen-3_aug0148.jpg
Rice pudding with peach compote and cinnamon sugar,,,,,,aug/mensa-flugplatz_essen-3_aug0149.jpg
Rice pudding with peach compote and cinnamon sugar,,,,,,aug/mensa-flugplatz_essen-3_aug0150.jpg
Rice pudding with peach compote and cinnamon sugar,,,,,,aug/mensa-flugplatz_essen-3_aug0151.jpg
"Falafel quinoa bowl with organic hummus, mojo dip, baked sweet potatoes, cauliflower salad, soy beans and cranberry red‑cabbage salad",,,,,,aug/mensa-rempartstrae_tagesgericht_aug0132.jpg
"Falafel quinoa bowl with organic hummus, mojo dip, baked sweet potatoes, cauliflower salad, soy beans and cranberry red‑cabbage salad",,,,,,aug/mensa-rempartstrae_tagesgericht_aug0133.jpg
"Falafel quinoa bowl with organic hummus, mojo dip, baked sweet potatoes, cauliflower salad, soy beans and cranberry red‑cabbage salad",,,,,,aug/mensa-rempartstrae_tagesgericht_aug0134.jpg
"Falafel quinoa bowl with organic hummus, mojo dip, baked sweet potatoes, cauliflower salad, soy beans and cranberry red‑cabbage salad",,,,,,aug/mensa-rempartstrae_tagesgericht_aug0135.jpg
Vegetable gnocchi pan with pink sauce; sheep’s cheese topping,,,,,,aug/mensa-rempartstrae_essen-1_aug0156.jpg
Vegetable gnocchi pan with pink sauce; sheep’s cheese topping,,,,,,aug/mensa-rempartstrae_essen-1_aug0157.jpg
Vegetable gnocchi pan with pink sauce; sheep’s cheese topping,,,,,,aug/mensa-rempartstrae_essen-1_aug0158.jpg
Vegetable gnocchi pan with pink sauce; sheep’s cheese topping,,,,,,aug/mensa-rempartstrae_essen-1_aug0159.jpg
Tortellini filled with ricotta and spinach in lemon‑wild‑garlic sauce; burst tomatoes,,,,,,aug/mensa-rempartstrae_essen-1_aug0140.jpg
Tortellini filled with ricotta and spinach in lemon‑wild‑garlic sauce; burst tomatoes,,,,,,aug/mensa-rempartstrae_essen-1_aug0141.jpg
Tortellini filled with ricotta and spinach in lemon‑wild‑garlic sauce; burst tomatoes,,,,,,aug/mensa-rempartstrae_essen-1_aug0142.jpg
Tortellini filled with ricotta and spinach in lemon‑wild‑garlic sauce; burst tomatoes,,,,,,aug/mensa-rempartstrae_essen-1_aug0143.jpg
"Thick‑cut fries with chilli con carne, garlic oil, chilli oil and grated mozzarella",,,,,,aug/mensa-flugplatz_wochenangebot_aug0152.jpg
"Thick‑cut fries with chilli con carne, garlic oil, chilli oil and grated mozzarella",,,,,,aug/mensa-flugplatz_wochenangebot_aug0153.jpg
"Thick‑cut fries with chilli con carne, garlic oil, chilli oil and grated mozzarella",,,,,,aug/mensa-flugplatz_wochenangebot_aug0154.jpg
"Thick‑cut fries with chilli con carne, garlic oil, chilli oil and grated mozzarella",,,,,,aug/mensa-flugplatz_wochenangebot_aug0155.jpg
Älpler macaroni with organic smoked tofu and tomato sauce; rice pudding made with cow’s milk available as a refill,,,,,,aug/mensa-rempartstrae_schneller-teller_aug0160.jpg
Älpler macaroni with organic smoked tofu and tomato sauce; rice pudding made with cow’s milk available as a refill,,,,,,aug/mensa-rempartstrae_schneller-teller_aug0161.jpg
Älpler macaroni with organic smoked tofu and tomato sauce; rice pudding made with cow’s milk available as a refill,,,,,,aug/mensa-rempartstrae_schneller-teller_aug0162.jpg
Älpler macaroni with organic smoked tofu and tomato sauce; rice pudding made with cow’s milk available as a refill,,,,,,aug/mensa-rempartstrae_schneller-teller_aug0163.jpg
Thick‑cut fries with surprise topping,,,,,,aug/mensa-institutsviertel_abendessen-1_aug0164.jpg
Thick‑cut fries with surprise topping,,,,,,aug/mensa-institutsviertel_abendessen-1_aug0165.jpg
Thick‑cut fries with surprise topping,,,,,,aug/mensa-institutsviertel_abendessen-1_aug0166.jpg
Thick‑cut fries with surprise topping,,,,,,aug/mensa-institutsviertel_abendessen-1_aug0167.jpg
Stuffed peppers; lattice potatoes; Spanish beans,,,,,,aug/mensa-rempartstrae_essen-1_aug0176.jpg
Stuffed peppers; lattice potatoes; Spanish beans,,,,,,aug/mensa-rempartstrae_essen-1_aug0177.jpg
Stuffed peppers; lattice potatoes; Spanish beans,,,,,,aug/mensa-rempartstrae_essen-1_aug0178.jpg
Stuffed peppers; lattice potatoes; Spanish beans,,,,,,aug/mensa-rempartstrae_essen-1_aug0179.jpg
Chicken burger; avocado dip; rissolé potatoes,,,,,,aug/mensa-flugplatz_essen-2_aug0172.jpg
Chicken burger; avocado dip; rissolé potatoes,,,,,,aug/mensa-flugplatz_essen-2_aug0173.jpg
Chicken burger; avocado dip; rissolé potatoes,,,,,,aug/mensa-flugplatz_essen-2_aug0174.jpg
Chicken burger; avocado dip; rissolé potatoes,,,,,,aug/mensa-flugplatz_essen-2_aug0175.jpg
Potato pancakes with apple sauce,,,,,,aug/mensa-flugplatz_essen-1_aug0184.jpg
Potato pancakes with apple sauce,,,,,,aug/mensa-flugplatz_essen-1_aug0185.jpg
Potato pancakes with apple sauce,,,,,,aug/mensa-flugplatz_essen-1_aug0186.jpg
Potato pancakes with apple sauce,,,,,,aug/mensa-flugplatz_essen-1_aug0187.jpg
Grönsaksbullar (vegetable meatballs) with tomato ragout; herb cheese spaetzle,,,,,,aug/mensa-flugplatz_essen-2_aug0188.jpg
Grönsaksbullar (vegetable meatballs) with tomato ragout; herb cheese spaetzle,,,,,,aug/mensa-flugplatz_essen-2_aug0189.jpg
Grönsaksbullar (vegetable meatballs) with tomato ragout; herb cheese spaetzle,,,,,,aug/mensa-flugplatz_essen-2_aug0190.jpg
Grönsaksbullar (vegetable meatballs) with tomato ragout; herb cheese spaetzle,,,,,,aug/mensa-flugplatz_essen-2_aug0191.jpg
Saag Dhansak – spinach and lentil curry; basmati rice; yoghurt dip; baguette,,,,,,aug/mensa-flugplatz_essen-1_aug0168.jpg
Saag Dhansak – spinach and lentil curry; basmati rice; yoghurt dip; baguette,,,,,,aug/mensa-flugplatz_essen-1_aug0169.jpg
Saag Dhansak – spinach and lentil curry; basmati rice; yoghurt dip; baguette,,,,,,aug/mensa-flugplatz_essen-1_aug0170.jpg
Saag Dhansak – spinach and lentil curry; basmati rice; yoghurt dip; baguette,,,,,,aug/mensa-flugplatz_essen-1_aug0171.jpg
Pancake with julienned vegetables; asparagus vegetable ragout,,,,,,aug/mensa-institutsviertel_schneller-teller_aug0180.jpg
Pancake with julienned vegetables; asparagus vegetable ragout,,,,,,aug/mensa-institutsviertel_schneller-teller_aug0181.jpg
Pancake with julienned vegetables; asparagus vegetable ragout,,,,,,aug/mensa-institutsviertel_schneller-teller_aug0182.jpg
Pancake with julienned vegetables; asparagus vegetable ragout,,,,,,aug/mensa-institutsviertel_schneller-teller_aug0183.jpg
Vegetable lasagne with olives and sheep’s cheese; pesto,,,,,,aug/mensa-rempartstrae_tagesgericht_aug0192.jpg
Vegetable lasagne with olives and sheep’s cheese; pesto,,,,,,aug/mensa-rempartstrae_tagesgericht_aug0193.jpg
Vegetable lasagne with olives and sheep’s cheese; pesto,,,,,,aug/mensa-rempartstrae_tagesgericht_aug0194.jpg
Vegetable lasagne with olives and sheep’s cheese; pesto,,,,,,aug/mensa-rempartstrae_tagesgericht_aug0195.jpg
Spaghetti with vegetable Bolognese; pesto; grated hard cheese,,,,,,aug/mensa-flugplatz_essen-1_aug0200.jpg
Spaghetti with vegetable Bolognese; pesto; grated hard cheese,,,,,,aug/mensa-flugplatz_essen-1_aug0201.jpg
Spaghetti with vegetable Bolognese; pesto; grated hard cheese,,,,,,aug/mensa-flugplatz_essen-1_aug0202.jpg
Spaghetti with vegetable Bolognese; pesto; grated hard cheese,,,,,,aug/mensa-flugplatz_essen-1_aug0203.jpg
Italian pasta bake with vegetables; tomato sauce; herb pesto,,,,,,aug/mensa-flugplatz_essen-1_aug0212.jpg
Italian pasta bake with vegetables; tomato sauce; herb pesto,,,,,,aug/mensa-flugplatz_essen-1_aug0213.jpg
Italian pasta bake with vegetables; tomato sauce; herb pesto,,,,,,aug/mensa-flugplatz_essen-1_aug0214.jpg
Italian pasta bake with vegetables; tomato sauce; herb pesto,,,,,,aug/mensa-flugplatz_essen-1_aug0215.jpg
Aglio spaghetti with sun‑dried tomatoes,,,,,,aug/mensa-institutsviertel_schneller-teller_aug0196.jpg
Aglio spaghetti with sun‑dried tomatoes,,,,,,aug/mensa-institutsviertel_schneller-teller_aug0197.jpg
Aglio spaghetti with sun‑dried tomatoes,,,,,,aug/mensa-institutsviertel_schneller-teller_aug0198.jpg
Aglio spaghetti with sun‑dried tomatoes,,,,,,aug/mensa-institutsviertel_schneller-teller_aug0199.jpg
Fried organic tofu with tomato‑ginger chutney; Thai‑style noodles,,,,,,aug/mensa-rempartstrae_essen-1_aug0208.jpg
Fried organic tofu with tomato‑ginger chutney; Thai‑style noodles,,,,,,aug/mensa-rempartstrae_essen-1_aug0209.jpg
Fried organic tofu with tomato‑ginger chutney; Thai‑style noodles,,,,,,aug/mensa-rempartstrae_essen-1_aug0210.jpg
Fried organic tofu with tomato‑ginger chutney; Thai‑style noodles,,,,,,aug/mensa-rempartstrae_essen-1_aug0211.jpg
Bernese‑style minced steak with pepper cream sauce; mashed potatoes; carrot‑pea vegetables,,,,,,aug/mensa-flugplatz_essen-2_aug0204.jpg
Bernese‑style minced steak with pepper cream sauce; mashed potatoes; carrot‑pea vegetables,,,,,,aug/mensa-flugplatz_essen-2_aug0205.jpg
Bernese‑style minced steak with pepper cream sauce; mashed potatoes; carrot‑pea vegetables,,,,,,aug/mensa-flugplatz_essen-2_aug0206.jpg
Bernese‑style minced steak with pepper cream sauce; mashed potatoes; carrot‑pea vegetables,,,,,,aug/mensa-flugplatz_essen-2_aug0207.jpg
Vegetarian sliced “meat” in creamy mushroom sauce; potato rösti; colourful pan‑fried vegetables,,,,,,aug/mensa-rempartstrae_essen-1_aug0216.jpg
Vegetarian sliced “meat” in creamy mushroom sauce; potato rösti; colourful pan‑fried vegetables,,,,,,aug/mensa-rempartstrae_essen-1_aug0217.jpg
Vegetarian sliced “meat” in creamy mushroom sauce; potato rösti; colourful pan‑fried vegetables,,,,,,aug/mensa-rempartstrae_essen-1_aug0218.jpg
Vegetarian sliced “meat” in creamy mushroom sauce; potato rösti; colourful pan‑fried vegetables,,,,,,aug/mensa-rempartstrae_essen-1_aug0219.jpg
Spaghetti Bolognese with organic beef; grated hard cheese,,,,,,aug/mensa-rempartstrae_essen-2_aug0220.jpg
Spaghetti Bolognese with organic beef; grated hard cheese,,,,,,aug/mensa-rempartstrae_essen-2_aug0221.jpg
Spaghetti Bolognese with organic beef; grated hard cheese,,,,,,aug/mensa-rempartstrae_essen-2_aug0222.jpg
Spaghetti Bolognese with organic beef; grated hard cheese,,,,,,aug/mensa-rempartstrae_essen-2_aug0223.jpg
Texas skillet with soy strips and red beans; paprika dip; country potatoes,,,,,,aug/mensa-rempartstrae_essen-1_aug0224.jpg
Texas skillet with soy strips and red beans; paprika dip; country potatoes,,,,,,aug/mensa-rempartstrae_essen-1_aug0225.jpg
Texas skillet with soy strips and red beans; paprika dip; country potatoes,,,,,,aug/mensa-rempartstrae_essen-1_aug0226.jpg
Texas skillet with soy strips and red beans; paprika dip; country potatoes,,,,,,aug/mensa-rempartstrae_essen-1_aug0227.jpg
Köttbullar with cranberry sauce; rissolé potatoes; leafy salad,,,,,,aug/mensa-rempartstrae_essen-2_aug0228.jpg
Köttbullar with cranberry sauce; rissolé potatoes; leafy salad,,,,,,aug/mensa-rempartstrae_essen-2_aug0229.jpg
Köttbullar with cranberry sauce; rissolé potatoes; leafy salad,,,,,,aug/mensa-rempartstrae_essen-2_aug0230.jpg
Köttbullar with cranberry sauce; rissolé potatoes; leafy salad,,,,,,aug/mensa-rempartstrae_essen-2_aug0231.jpg
Thai curry with vegetables and soy; basmati rice; peanuts,,,,,,aug/mensa-rempartstrae_essen-1_aug0240.jpg
Thai curry with vegetables and soy; basmati rice; peanuts,,,,,,aug/mensa-rempartstrae_essen-1_aug0241.jpg
Thai curry with vegetables and soy; basmati rice; peanuts,,,,,,aug/mensa-rempartstrae_essen-1_aug0242.jpg
Thai curry with vegetables and soy; basmati rice; peanuts,,,,,,aug/mensa-rempartstrae_essen-1_aug0243.jpg
Breaded pork schnitzel or vegetable schnitzel; roast gravy; French fries,,,,,,aug/mensa-flugplatz_wochenangebot_aug0236.jpg
Breaded pork schnitzel or vegetable schnitzel; roast gravy; French fries,,,,,,aug/mensa-flugplatz_wochenangebot_aug0237.jpg
Breaded pork schnitzel or vegetable schnitzel; roast gravy; French fries,,,,,,aug/mensa-flugplatz_wochenangebot_aug0238.jpg
Breaded pork schnitzel or vegetable schnitzel; roast gravy; French fries,,,,,,aug/mensa-flugplatz_wochenangebot_aug0239.jpg
"Pasta “Tonno” with vegan tuna, tomatoes, vegetables and olives",,,,,,aug/mensa-rempartstrae_tagesgericht_aug0244.jpg
"Pasta “Tonno” with vegan tuna, tomatoes, vegetables and olives",,,,,,aug/mensa-rempartstrae_tagesgericht_aug0245.jpg
"Pasta “Tonno” with vegan tuna, tomatoes, vegetables and olives",,,,,,aug/mensa-rempartstrae_tagesgericht_aug0246.jpg
"Pasta “Tonno” with vegan tuna, tomatoes, vegetables and olives",,,,,,aug/mensa-rempartstrae_tagesgericht_aug0247.jpg
"Thick‑cut fries with vegetable‑soy Bolognese, chilli‑pepper cream, tomatoes, rocket and grated cheese",,,,,,aug/mensa-rempartstrae_wochenangebot_aug0248.jpg
"Thick‑cut fries with vegetable‑soy Bolognese, chilli‑pepper cream, tomatoes, rocket and grated cheese",,,,,,aug/mensa-rempartstrae_wochenangebot_aug0249.jpg
"Thick‑cut fries with vegetable‑soy Bolognese, chilli‑pepper cream, tomatoes, rocket and grated cheese",,,,,,aug/mensa-rempartstrae_wochenangebot_aug0250.jpg
"Thick‑cut fries with vegetable‑soy Bolognese, chilli‑pepper cream, tomatoes, rocket and grated cheese",,,,,,aug/mensa-rempartstrae_wochenangebot_aug0251.jpg
"Mediterranean pasta salad with mozzarella, olives, sun‑dried tomatoes and basil; leafy salad; baguette",,,,,,aug/mensa-flugplatz_essen-1_aug0252.jpg
"Mediterranean pasta salad with mozzarella, olives, sun‑dried tomatoes and basil; leafy salad; baguette",,,,,,aug/mensa-flugplatz_essen-1_aug0253.jpg
"Mediterranean pasta salad with mozzarella, olives, sun‑dried tomatoes and basil; leafy salad; baguette",,,,,,aug/mensa-flugplatz_essen-1_aug0254.jpg
"Mediterranean pasta salad with mozzarella, olives, sun‑dried tomatoes and basil; leafy salad; baguette",,,,,,aug/mensa-flugplatz_essen-1_aug0255.jpg
Rice pudding with pear compote and cinnamon sugar,,,,,,aug/mensa-flugplatz_essen-3_aug0232.jpg
Rice pudding with pear compote and cinnamon sugar,,,,,,aug/mensa-flugplatz_essen-3_aug0233.jpg
Rice pudding with pear compote and cinnamon sugar,,,,,,aug/mensa-flugplatz_essen-3_aug0234.jpg
